PostID,Post Description,Date,Language Code,Full Language,Sentiment
B7mbLCVhYIf,"QUESTIONS AND ANSWERS ON CORONAVIRUS PT. 2

Is there a vaccine for coronavirus?

When a disease is new, there is no vaccine until one is developed. It can take a number of years for a new vaccine to be developed.

Is there a treatment for a novel coronavirus?

There is no specific treatment for disease caused by a novel coronavirus. However, many of the symptoms can be treated and therefore treatment based on the patient’s clinical condition. Moreover, supportive care for infected persons can be highly effective.

What can I do to protect myself?

Standard recommendations to reduce exposure to and transmission of a range of illnesses include maintaining basic hand and respiratory hygiene, and safe food practices  and avoiding close contact, when possible, with anyone showing symptoms of respiratory illness such as coughing and sneezing.

#coronavirus #coronavirusawareness #coronavirusoutbreak",01/21/2020,en,English,positive
B7m7M3SgvI1,"Using humor to bring attention to a serious matter.

Common #coronaviruses cause either upper-respiratory illnesses (example: common cold) or lower-respiratory tract illnesses (example:  pneumonia or bronchitis). However, some more serious strains can evolve to Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS). These are the type that can sometimes lead to death.

Stay safe. .

#coronavirus #coronavirusawareness #corona #coronalight #corona🍺 #intoxicated #dontdrinkanddrive #beerstagram #beergram #china #hubei #hubeiprovince #mers #sars #staysafe #staysafeeveryone #safetyfirst #safetythird",01/22/2020,en,English,negative
B7oK_DMhtxr,"Stay safe
Cover your face
#typ262 #40mm #40mmperspective #facemask #eyes #mindyourbreath #astraettop #cdgbotton #guccisneakers #balenciagabags #stayawayfrom #staysafe #bearesponsiblehuman #beabetterperson #consultdoctorifsick #公德心 #人見人憎 #pneumonia #coronavirusawareness",01/22/2020,en,English,positive
B7njeFbBX5y,"Did you know an outbreak of a new coronavirus in China has killed nine people and sickened more than 400, and has spread to several other countries? The Coronavirus can infect both animals and people, and cause illnesses of the respiratory tract. 
Follow these precautions and stay safe. Let’s not provide this deadly virus with any opportunity of attacking you. Keep India Safe!! #coronavirus #coronaviruses #coronavirusawareness #coronavirusdewuhan #precautions",01/22/2020,en,English,negative
B7nV26QgOLP,"It’s so sad and scary that the coronavirus has killed and sickened so many people in China, and that it’s spreading so fast within a month and also to other countries!! 😢
The big cities of China are crowded all year-round. But during the Chinese New Year, which is in only three days, hundreds and thousands of people will travel to, from and within Asia to celebrate the Lunar New Year with their families. The virus will likely be spread to even more places around the globe, and it’s hard to contain it... 🤯 So we really hope that the governments and scientists will find a solution pretty fast to stop it from spreading. 😐 
We’d like to say to all the travelers out there: be cautious! 
1. Wash your hands regularly. 
2. Avoid touching your mouth, eyes, nose without washing your hands first. 
3. Do not go to live animal markets.
4. If you feel a bit sick, go see a doctor immediately.
•
•
•
#coronavirus #coronavirusawareness #virus #besafe #becautious #sars #chinavirusoutbreak",01/22/2020,en,English,negative
B7q_Ew0JKPk,"In the video of CORONAVIRUS CHINA|what is coronavirus|cities with coronavirus|wuhan coronavirus| we will give you a fully detail about the coronavirus and what to do next.
Many of the initial cases were linked to a seafood market in Wuhan, but Chinese health officials said this week that human-to-human transmission has been confirmed. Tag everyone you wish to know and be safe of what’s happening @wheres.poppy @chopsticktravel @wearenico @nicolas.one @mrghanababy @who @theofficialoscaryohana @kev000007 @sarahkyola @drewbinsky @asianbossmedia @boss 
The Lunar New Year is Saturday, and officials are concerned that millions of holiday travelers across Asia will fuel spread of the disease.

Coronavirus outbreak:First US case of coronavirus reported in Washington state

The WHO has established an emergency committee to advise Director-General Tedros Adhanom Ghebreyesus on whether the outbreak constitutes a public health emergency of international concern, or a PHEIC.

#coronaviruses #coronavírus #coronavirüs #coronavirusawareness #coronavirusspreadsperesontoperson #coronaviruswuhan 
#chinatown #china🇨🇳 #chinahouse #chinas #chinaa #chinaarmy #chinaazul #achina #achinada #achinadita 
#memesdaily #memes😂 #memess #memesquad #memesauronplay #memesapaixonados #memesad #memesapp #memesanimesbr #amemes",01/23/2020,en,English,positive
B7qJ4t6AB2t,"Do you know about Coronavirus. If not check our slider to more know about it.
#coronavirus #coronaviruses @who #flu #infection #infectioncontrol #symptoms #medtalks #medtalksindia #cold #cleanhands #coronavirusawareness #coronavirusdewuhan",01/23/2020,en,English,neutral
B7s5Kjbn40p,"China now. 
While the #coronavirus is growing a great paranoia in the territory of China, it seems not be as deadly as its elder sibling SARS. Proper safety measures and regular personal hygiene will keep everyone safe. 
Wishing all my Chinese friends a Happy Lunar New Year! May it bring an abundance of health and joy.
鼠年快乐！健康平安！中国加油! 🙏🏻🎉 .
.
.
.
.
#China #mask #goth #safety #virus #apocalypsenow #cyber #mute #reality #gothgoth #gothicgirl #gothgirl #epidemy #apocalyptic #cyberpunk #gruftie #urbanphotography #urbanjungle #中国 #病毒 #healthconcious #urbangoth #gothicstyle #cybergoth #photography #coronavirus #coronavirus2020 #coronavirusawareness",01/24/2020,en,English,positive
B7ttEjZBvhe,"The corona virus Impact on people and places worldwide is getting pretty horrific that China is at the Frontline of absorbing the impact and their ability to deal with this is truly gratifying but the human impact is horrific truly hope the world gets a handle on this soon⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
⁣
#coronavirus #coronaviruses #coronavirusoutbreak #coronaviruschina #coronavirusmemes #coronavírus #coronavirüs #coronaviruschino #coronavirüsü #coronavirus2020 #coronavirusdewuhan #coronaviruswuhan #coronavirusmeme #coronavirusu #coronavirusnews #coronavirusawareness #coronavırus #coronavirusupdate #coronavirus2019ncov #coronavirussucks #coronavirusthailand #coronavirusmexico #coronaviruscanino #coronaviruse #coronavirusfree #coronavirus😷 #coronavirus‼️ #coronavirusalert #coronavirusprevention #coronavirusfelino",01/24/2020,en,English,positive
B7sYdlygkp1,"The virus have spread to at least seven other countries... FOLLOW: @hashttag.news for more “FLASH UPDATES”. ———————————————————————— China 🇨🇳: ⠀
⠀
- Chinese state media reported 25 deaths and over 800 confirmed cases.⠀
⠀
- The virus have spread to at least seven other countries and regions.⠀
⠀
- Strict biosecurity measures have been put in place in parts of the world.⠀
⠀
- WHO declined to declare whether coronavirus is an international emergency.⠀
⠀
- reached 25 and the virus has sickened more than 800 people. ⠀
⠀
————————————————————————⠀
⠀
Countries and regions other than China the virus has spread to⠀
- Japan⠀
- South Korea⠀
- Thailand⠀
- USA⠀
- Taiwan⠀
- Macau⠀
- Hong Kong ⠀
⠀ ————————————————————————⠀⠀⠀⠀
FOLLOW: @hashttag.news⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
FOLLOW: @hashtag.cinemas⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
FOLLOW: @hashtag.memz ———————————————————————— #coronavirus #coronaviruses #coronaviruschina #coronavirusoutbreak #coronavírus #coronavirüs #coronavirusmemes #coronaviruschino #coronavirusupdate #coronavirusawareness #coronavirusnews #coronavirus2020 #WHO #WorldHealthOrganization #CHINAvirus #china #virus #news  #hepatitis #hendravirus #hantavirus #groupbstrep #grippe #giardia #endmalaria #internationalnews #socialnews #politicalnews #Seithigal",01/24/2020,en,English,negative
